Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability,MVP
NAMIBIA,316,Jan Frylinck,NO,41,273,21,106.6,60,6.84,0.14,1.46,0.21,0.35,0,NO
NAMIBIA,317,David Wiese,YES,43,562,26.8,136.4,44,7.44,0.23,1.02,0.13,0.36,0,YES
NAMIBIA,318,Ruben Trumpelmann,NO,23,101,25.2,20.8,20,6.63,0.03,0.87,0.13,0.16,0,NO
NAMIBIA,319,Zane Green,NO,36,275,12.5,98.9,0,0,0.08,0,0,0.08,0,NO
NAMIBIA,320,Bernard Scholtz,NO,42,24,12,60,47,5.86,0.05,1.12,0.18,0.23,0,NO
NAMIBIA,321,Tangeni Lungameni,NO,18,2,0,100,17,7.28,0,0.94,0.12,0.12,0,NO
NAMIBIA,322,Michael van Lingen,NO,14,203,18.4,112.8,0,10.5,0.13,0,0,0.13,0,NO
NAMIBIA,323,Ben Shikongo,NO,24,0,0,0,18,6.66,0,0.75,0.11,0.11,0,NO
NAMIBIA,324,Karl Birkenstock,NO,9,81,27,180,0,8.8,0.3,0,0,0.3,0,NO
NAMIBIA,325,Lohan Louwrens,NO,3,26,26,104,0,0,0.17,0,0,0.17,0,NO
NAMIBIA,326,Helao Ya France,NO,20,32,4.6,86.5,5,7.35,0.02,0.25,0.03,0.06,0,NO
